1 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 1, 0, 0 ]
2 / 10000: [ 0, 1, 1, 0, 0 ], [ 0, 1, 1, 0 ]
3 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 2, 1, 0 ]
4 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 3, 1, 0 ]
5 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 3, 1, 0 ]
6 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 4, 1, 0 ]
7 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 5, 1, 0 ]
8 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 6, 1, 0 ]
9 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 6, 1, 0 ]
10 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 7, 1, 0 ]
11 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 7, 1, 0 ]
12 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 7, 1, 0 ]
13 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 8, 1, 0 ]
14 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 9, 1, 0 ]
15 / 10000: [ 0, 0, 1, 0, 0 ], [ 0, 9, 1, 0 ]
16 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 10, 1, 0 ]
17 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 11, 1, 0 ]
18 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 11, 1, 0 ]
19 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 12, 1, 0 ]
20 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 13, 1, 0 ]
21 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 13, 1, 0 ]
22 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 14, 1, 0 ]
23 / 10000: [ 0, 0, 1, 0, 0 ], [ 0, 14, 1, 0 ]
24 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 15, 1, 0 ]
25 / 10000: [ 0, 1, 1, 0, 0 ], [ 0, 15, 2, 0 ]
26 / 10000: [ 0, 0, 2, 0, 0 ], [ 0, 15, 3, 0 ]
27 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 15, 3, 0 ]
28 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 16, 3, 0 ]
29 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 17, 3, 0 ]
30 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 17, 3, 0 ]
31 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 17, 3, 0 ]
32 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 18, 3, 0 ]
33 / 10000: [ 0, 1, 0, 0, 0 ], [ 0, 18, 3, 0 ]
34 / 10000: [ 0, 1, 1, 0, 0 ], [ 0, 18, 4, 0 ]
35 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 19, 4, 0 ]
36 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 20, 4, 0 ]
37 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 21, 4, 0 ]
38 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 21, 4, 0 ]
39 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 22, 4, 0 ]
40 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 23, 4, 0 ]
41 / 10000: [ 0, 1, 1, 0, 0 ], [ 0, 23, 5, 0 ]
42 / 10000: [ 0, 0, 0, 0, 0 ], [ 0, 23, 5, 0 ]
43 / 10000: [ 0, 0, 1, 0, 0 ], [ 0, 23, 5, 0 ]
44 / 10000: [ 0, 2, 0, 0, 0 ], [ 0, 24, 5, 0 ]
