1 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 1, 0, 0 ]
2 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 2, 0, 0 ]
3 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 3, 0, 0 ]
4 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 4, 0, 0 ]
5 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 5, 0, 0 ]
6 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 6, 0, 0 ]
7 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 7, 0, 0 ]
8 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 8, 0, 0 ]
9 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 9, 0, 0 ]
10 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 10, 0, 0 ]
11 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 11, 0, 0 ]
12 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 12, 0, 0 ]
13 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 13, 0, 0 ]
14 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 14, 0, 0 ]
15 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 15, 0, 0 ]
16 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 16, 0, 0 ]
17 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 17, 0, 0 ]
18 / 100: [ 2, 0, 0, 0, 0 ], [ 0, 17, 0, 0 ]
19 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 18, 0, 0 ]
20 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 19, 0, 0 ]
21 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 20, 0, 0 ]
22 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 21, 0, 0 ]
23 / 100: [ 2, 1, 0, 0, 0 ], [ 0, 21, 0, 0 ]
24 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 22, 0, 0 ]
25 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 23, 0, 0 ]
26 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 24, 0, 0 ]
27 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 25, 0, 0 ]
28 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 26, 0, 0 ]
29 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 27, 0, 0 ]
30 / 100: [ 2, 0, 0, 0, 0 ], [ 0, 27, 0, 0 ]
31 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 28, 0, 0 ]
32 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 29, 0, 0 ]
33 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 30, 0, 0 ]
34 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 31, 0, 0 ]
35 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 32, 0, 0 ]
36 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 33, 0, 0 ]
37 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 34, 0, 0 ]
38 / 100: [ 2, 0, 0, 0, 0 ], [ 0, 34, 0, 0 ]
39 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 35, 0, 0 ]
40 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 36, 0, 0 ]
41 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 37, 0, 0 ]
42 / 100: [ 2, 0, 0, 0, 0 ], [ 0, 37, 0, 0 ]
43 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 38, 0, 0 ]
44 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 39, 0, 0 ]
45 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 40, 0, 0 ]
46 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 41, 0, 0 ]
47 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 42, 0, 0 ]
48 / 100: [ 2, 1, 0, 0, 0 ], [ 0, 42, 0, 0 ]
49 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 43, 0, 0 ]
50 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 44, 0, 0 ]
51 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 45, 0, 0 ]
52 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 46, 0, 0 ]
53 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 47, 0, 0 ]
54 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 48, 0, 0 ]
55 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 49, 0, 0 ]
56 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 50, 0, 0 ]
57 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 51, 0, 0 ]
58 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 52, 0, 0 ]
59 / 100: [ 2, 0, 0, 0, 0 ], [ 0, 52, 0, 0 ]
60 / 100: [ 2, 0, 0, 2, 0 ], [ 0, 52, 0, 1 ]
61 / 100: [ 2, 2, 0, 0, 0 ], [ 0, 53, 0, 1 ]
62 / 100: [ 2, 0, 0, 0, 0 ], [ 0, 53, 0, 1 ]
63 / 100: [ 2, 0, 0, 0, 0 ], [ 0, 53, 0, 1 ]
64 / 100: [ 2, 0, 0, 0, 0 ], [ 0, 53, 0, 1 ]
65 / 100: [ 2, 0, 0, 0, 0 ], [ 0, 53, 0, 1 ]
